start_date_new,nhood,num_parking_meters,wday
2019-11-16,Haight Ashbury,1370,7
2019-11-16,Hayes Valley,2853,7
2019-11-16,Inner Richmond,4951,7
2019-11-16,Inner Sunset,2235,7
2019-11-16,Japantown,1818,7
2019-11-16,Lakeshore,155,7
2019-11-16,Lone Mountain/USF,439,7
2019-11-16,Marina,4217,7
2019-11-16,Mission,8737,7
2019-11-16,Mission Bay,3110,7
2019-11-16,Nob Hill,2668,7
2019-11-16,Noe Valley,1509,7
2019-11-16,North Beach,4158,7
2019-11-16,Oceanview/Merced/Ingleside,248,7
2019-11-16,Outer Mission,1022,7
2019-11-16,Outer Richmond,4011,7
2019-11-16,Pacific Heights,2243,7
2019-11-16,Portola,770,7
2019-11-16,Potrero Hill,432,7
2019-11-16,Presidio Heights,1875,7
2019-11-16,Russian Hill,2611,7
2019-11-16,South of Market,4310,7
2019-11-16,Sunset/Parkside,4895,7
2019-11-16,Tenderloin,2728,7
2019-11-16,Visitacion Valley,175,7
2019-11-16,West of Twin Peaks,4731,7
2019-11-16,Western Addition,1895,7
2019-11-16,NA,1817,7
2019-11-18,Bayview Hunters Point,69,2
2019-11-18,Bernal Heights,1063,2
2019-11-18,Castro/Upper Market,1614,2
2019-11-18,Chinatown,2133,2
2019-11-18,Excelsior,960,2
2019-11-18,Financial District/South Beach,7547,2
2019-11-18,Glen Park,347,2
2019-11-18,Golden Gate Park,29,2
2019-11-18,Haight Ashbury,1039,2
2019-11-18,Hayes Valley,2305,2
2019-11-18,Inner Richmond,4668,2
2019-11-18,Inner Sunset,1815,2
2019-11-18,Japantown,1815,2
2019-11-18,Lakeshore,163,2
2019-11-18,Lone Mountain/USF,459,2
2019-11-18,Marina,3903,2
2019-11-18,Mission,7918,2
2019-11-18,Mission Bay,2977,2
2019-11-18,Nob Hill,1985,2
2019-11-18,Noe Valley,1311,2
2019-11-18,North Beach,2796,2
2019-11-18,Oceanview/Merced/Ingleside,195,2
2019-11-18,Outer Mission,977,2
2019-11-18,Outer Richmond,3285,2
2019-11-18,Pacific Heights,1999,2
2019-11-18,Portola,748,2
2019-11-18,Potrero Hill,532,2
2019-11-18,Presidio Heights,1902,2
2019-11-18,Russian Hill,2073,2
2019-11-18,South of Market,3994,2
2019-11-18,Sunset/Parkside,4405,2
2019-11-18,Tenderloin,2276,2
2019-11-18,Visitacion Valley,192,2
2019-11-18,West of Twin Peaks,4310,2
2019-11-18,Western Addition,1974,2
2019-11-18,NA,1152,2
2019-11-19,Bayview Hunters Point,91,3
2019-11-19,Bernal Heights,1093,3
2019-11-19,Castro/Upper Market,1745,3
2019-11-19,Chinatown,2137,3
2019-11-19,Excelsior,926,3
2019-11-19,Financial District/South Beach,7656,3
2019-11-19,Glen Park,348,3
2019-11-19,Golden Gate Park,22,3
2019-11-19,Haight Ashbury,1129,3
2019-11-19,Hayes Valley,2356,3
2019-11-19,Inner Richmond,4389,3
2019-11-19,Inner Sunset,1857,3
2019-11-19,Japantown,1954,3
2019-11-19,Lakeshore,160,3
2019-11-19,Lone Mountain/USF,445,3
2019-11-19,Marina,4124,3
2019-11-19,Mission,8111,3
2019-11-19,Mission Bay,2978,3
2019-11-19,Nob Hill,2066,3
2019-11-19,Noe Valley,1295,3
2019-11-19,North Beach,2774,3
2019-11-19,Oceanview/Merced/Ingleside,220,3
2019-11-19,Outer Mission,1042,3
2019-11-19,Outer Richmond,3442,3
2019-11-19,Pacific Heights,2059,3
2019-11-19,Portola,704,3
2019-11-19,Potrero Hill,501,3
2019-11-19,Presidio Heights,1947,3
2019-11-19,Russian Hill,2224,3
2019-11-19,South of Market,4280,3
2019-11-19,Sunset/Parkside,4562,3
2019-11-19,Tenderloin,2160,3
2019-11-19,Visitacion Valley,160,3
2019-11-19,West of Twin Peaks,4271,3
2019-11-19,Western Addition,2097,3
2019-11-19,NA,1249,3
2019-11-20,Bayview Hunters Point,104,4
2019-11-20,Bernal Heights,1052,4
2019-11-20,Castro/Upper Market,1723,4
2019-11-20,Chinatown,2351,4
2019-11-20,Excelsior,847,4
2019-11-20,Financial District/South Beach,7917,4
2019-11-20,Glen Park,346,4
2019-11-20,Golden Gate Park,28,4
2019-11-20,Haight Ashbury,1235,4
2019-11-20,Hayes Valley,2530,4
2019-11-20,Inner Richmond,4747,4
2019-11-20,Inner Sunset,2031,4
2019-11-20,Japantown,1831,4
2019-11-20,Lakeshore,169,4
2019-11-20,Lone Mountain/USF,440,4
2019-11-20,Marina,4208,4
2019-11-20,Mission,8441,4
2019-11-20,Mission Bay,3110,4
2019-11-20,Nob Hill,2045,4
