start_date_new,zip,num_parking_meters,wday
2019-11-26,94131,513,3
2019-11-26,94132,671,3
2019-11-26,94133,3764,3
2019-11-26,94134,765,3
2019-11-26,NA,1306,3
2019-11-27,94102,3949,4
2019-11-27,94103,5476,4
2019-11-27,94104,356,4
2019-11-27,94105,2446,4
2019-11-27,94107,5322,4
2019-11-27,94108,1675,4
2019-11-27,94109,6173,4
2019-11-27,94110,7863,4
2019-11-27,94111,3527,4
2019-11-27,94112,3217,4
2019-11-27,94114,3468,4
2019-11-27,94115,4854,4
2019-11-27,94116,1654,4
2019-11-27,94117,2893,4
2019-11-27,94118,8085,4
2019-11-27,94121,3115,4
2019-11-27,94122,6437,4
2019-11-27,94123,4375,4
2019-11-27,94124,72,4
2019-11-27,94127,3488,4
2019-11-27,94131,672,4
2019-11-27,94132,684,4
2019-11-27,94133,4389,4
2019-11-27,94134,1185,4
2019-11-27,NA,1712,4
2019-11-28,94102,19,5
2019-11-28,94103,6,5
2019-11-28,94104,1,5
2019-11-28,94105,10,5
2019-11-28,94107,17,5
2019-11-28,94108,16,5
2019-11-28,94109,45,5
2019-11-28,94110,70,5
2019-11-28,94111,11,5
2019-11-28,94112,36,5
2019-11-28,94114,17,5
2019-11-28,94115,22,5
2019-11-28,94116,8,5
2019-11-28,94117,7,5
2019-11-28,94118,46,5
2019-11-28,94121,17,5
2019-11-28,94122,30,5
2019-11-28,94123,15,5
2019-11-28,94127,13,5
2019-11-28,94132,2,5
2019-11-28,94133,117,5
2019-11-28,94134,12,5
2019-11-28,NA,3,5
2019-11-29,94102,3119,6
2019-11-29,94103,3672,6
2019-11-29,94104,204,6
2019-11-29,94105,1945,6
2019-11-29,94107,4158,6
2019-11-29,94108,1502,6
2019-11-29,94109,4896,6
2019-11-29,94110,5898,6
2019-11-29,94111,3036,6
2019-11-29,94112,2040,6
2019-11-29,94114,2481,6
2019-11-29,94115,3387,6
2019-11-29,94116,1050,6
2019-11-29,94117,2079,6
2019-11-29,94118,5902,6
2019-11-29,94121,2567,6
2019-11-29,94122,4911,6
2019-11-29,94123,3847,6
2019-11-29,94124,26,6
2019-11-29,94127,2261,6
2019-11-29,94131,407,6
2019-11-29,94132,196,6
2019-11-29,94133,4555,6
2019-11-29,94134,985,6
2019-11-29,NA,1002,6
2019-11-30,94102,3563,7
2019-11-30,94103,3834,7
2019-11-30,94104,514,7
2019-11-30,94105,2413,7
2019-11-30,94107,3714,7
2019-11-30,94108,2091,7
2019-11-30,94109,5381,7
2019-11-30,94110,6489,7
2019-11-30,94111,3306,7
2019-11-30,94112,2135,7
2019-11-30,94114,2796,7
2019-11-30,94115,3645,7
2019-11-30,94116,1082,7
2019-11-30,94117,2281,7
2019-11-30,94118,5862,7
2019-11-30,94121,2710,7
2019-11-30,94122,5377,7
2019-11-30,94123,3935,7
2019-11-30,94124,55,7
2019-11-30,94127,2554,7
2019-11-30,94131,481,7
2019-11-30,94132,324,7
2019-11-30,94133,4152,7
2019-11-30,94134,877,7
2019-11-30,NA,1262,7
2019-12-02,94102,3712,2
2019-12-02,94103,5483,2
2019-12-02,94104,408,2
2019-12-02,94105,2358,2
2019-12-02,94107,5013,2
2019-12-02,94108,1471,2
2019-12-02,94109,5289,2
